@relation tweet

@attribute 1st_person numeric
@attribute 2nd_person numeric
@attribute 3rd_person numeric
@attribute coord_conjunction numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute modern_slang numeric
@attribute upper_case_words numeric
@attribute avg_length_sentences numeric
@attribute avg_length_token numeric
@attribute num_sentences numeric
@attribute class {0,4}

@data
1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 0, 0, 2, 4.66666666667, 4.5, 3, 0
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 7.0, 4.0, 1, 0
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 1, 0, 1, 0, 6.5, 4.45454545455, 2, 0
0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 21.0, 4.0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 0, 0, 0, 9.0, 4.875, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 5.0, 4.0, 1, 0
3, 0, 3, 0, 1, 0, 2, 0, 0, 0, 0, 4, 0, 2, 0, 0, 1, 24.0, 3.63636363636, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 11.0, 3.90909090909, 1, 0
3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 1, 3, 1, 0, 0, 14.5, 3.38461538462, 2, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 2, 0, 0, 0, 9.0, 4.0, 1, 0
2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 5, 0, 5, 1, 0, 0, 9.66666666667, 3.72, 3, 0
0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 5.0, 3.8125, 4, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 6.0, 7.0, 1, 0
1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12.0, 3.41666666667, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 6.0, 5.2, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4.0, 3.5, 1, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 9.0, 3.625, 1, 0
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 5, 0, 1, 0, 0, 0, 12.0, 3.90909090909, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 4, 2, 0, 1, 0, 14.5, 3.30769230769, 2, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 6.0, 3.0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 6.0, 3.5, 1, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 1, 4, 0, 3, 1, 6.2, 3.88461538462, 5, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2.0, 9.0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 3.0, 4.5, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 6.0, 6.16666666667, 1, 0
